Plate no,Price
666641,6200
666642,6200
666643,6200
668882,2300
668444,2300
667775,2300
667773,2300
667444,2300
666883,2300
666844,2300
666533,2300
666448,2300
666422,2300
666377,2300
666337,2300
666255,2300
666144,2300
665553,2300
665222,2300
663335,2300
666155,2300
666177,2300
666211,2300
666233,2300
666244,2300
666288,2300
662223,2300
662224,2300
662225,2300
662228,2300
662229,2300
661222,2300
661333,2300
661444,2300
661888,2300
666112,2300
666113,2300
666114,2300
666117,2300
666118,2300
662333,2300
662444,2300
662555,2300
666223,2300
666225,2300
667774,2300
667333,2300
667555,2300
666773,2300
666774,2300
666775,2300
666577,2300
663362,600
665536,600
665464,400
676020,400
676654,400
665645,300
675571,300
675572,300
675573,300
675754,300
676725,300
676732,300
676735,300
676738,300
676739,300
676742,300
676751,300
676752,300
676753,300
676758,300
676759,300
674741,250
674743,250
674748,250
663653,250
665865,250
364777,550
671600,490
56229,550
2296,17500
151217,380
6594,10000
55020,3500
567373,450
232374,350
6791,9999
676606,950
83699,650
227999,2900
52241,480
372723,1550
677773,7000
154994,315
667911,800
672672,4200
411193,620
676067,1200
84777,5800
111048,750
664746,360
19737,950
678785,430
667769,950
117999,3000
333678,750
671133,600
22297,5500
666078,900
600075,2300
667007,1800
493444,1250
662000,18000
66654,9500
629999,9500
660663,2900
15559,7000
2087,12000
672222,9300
99369,1850
209911,970
122775,580
611644,1300
676673,480
62325,600
19492,700
47679,570
677667,10500
56255,1700
233385,550
535939,550
55503,8500
666688,23500
655166,700
666207,480
670880,500
610107,950
661104,550
610108,900
660073,650
661009,650
649404,350
444955,1800
4245,16200
666607,11500
375337,370
343348,650
676674,460
175558,465
66026,2500
400345,415
665833,350
153636,365
667411,350
600091,2800
555929,1500
663603,420
67246,385
73907,430
61736,395
666647,5800
557335,550
677773,6600
67922,465
229020,550
72933,475
92628,600
660366,2350
55888,26000
669951,550
83809,650
660119,470
67891,1000
466111,2600
666140,770
1185,24500
666934,440
466111,2600
674700,600
674999,900
675115,340
673003,750
675959,340
91114,9500
301070,1800
664225,340
667656,650
664118,340
136669,700
